user_id,sku_id
65538,5825
98308,24648
32775,55444
65544,125756
65548,147361
32781,2378
89473,737
32785,57161
20,98008
96237,52343
32790,20719
32792,47193
98329,72967
26,127896
92847,34851
5466,128988
98334,106667
98335,128747
32801,48895
32802,37638
32804,83347
98342,72967
42,21159
43,2100
80973,18412
65581,126146
32816,163550
49,128988
98354,121274
32821,28276
98358,83144
32824,88798
64,82971
98369,88295
65602,69355
32835,102488
72,154636
65611,44042
32845,32465
81,40336
32852,157827
98390,84409
32860,93163
32864,29411
98401,25003
98,166707
65635,116802
100,90456
101,20077
90567,22140
103,85780
32874,131210
108,159138
109,129899
32878,140741
98416,80499
32881,74517
32883,6533
32884,129842
65653,59366
32886,141257
32887,15259
32888,75877
65556,57018
92863,84639
124,103652
32897,135272
32901,57386
87404,57018
138,14163
32907,66844
140,103126
65679,39079
98448,129444
32913,154636
98450,120076
32915,57018
32917,115836
150,125756
151,68615
65691,163550
156,72967
32926,68615
163,85557
65700,126937
98470,84389
54641,111741
72020,21147
65705,103594
65707,4366
172,42876
65709,72073
87296,72967
32944,65441
92310,19213
178,12564
65715,62863
180,149641
49182,135376
32950,103434
92873,20719
87412,5505
32955,1468
57836,127836
98495,5505
98496,124894
32961,81131
194,24679
32963,151760
32965,116489
65734,128988
65735,153395
65737,99625
98507,59038
98338,19213
92047,142140
65745,146593
212,153395
76494,45980
65751,167985
216,81163
220,52343
90694,65520
32990,22469
65759,25227
98528,14163
99373,134452
32999,5505
33000,14163
5500,84389
33004,7746
98541,3887
98543,12564
79172,12540
10963,90761
247,20719
76500,142477
252,73398
98346,102864
65790,49551
255,21147
65792,130948
72023,31662
33027,57018
100687,37957
33031,59175
65801,67241
33034,276
33035,43062
98573,106971
272,153395
274,68615
71043,37957
276,79520
33046,43025
65816,84544
33050,107065
65819,8753
33052,18412
65822,58178
71045,165190
291,97672
65831,133192
296,14433
93847,90402
65838,12564
33071,135272
33074,106759
307,32465
308,81708
33079,67829
314,132562
318,165190
33087,149641
33089,25003
322,16579
33091,116820
65860,168106
325,68615
98632,86551
65866,143527
331,152872
65868,20719
337,55241
339,62863
101562,10373
345,78694
33114,49178
71055,135272
65884,154636
89516,134286
78563,147898
54672,140807
33122,14181
33124,70936
65896,65700
65898,94380
33132,64141
33134,7643
98365,135272
33139,77723
33141,149854
98678,75877
65915,94652
98684,85650
33149,111628
382,118051
33151,112332
33152,79636
65922,33286
98694,157595
391,26229
33160,55092
58934,51916
98700,70893
397,93070
398,118051
98705,70936
71065,52343
84287,61226
65945,161265
412,2378
33181,85780
65950,81163
65954,88295
65956,65441
33189,62351
98726,86242
423,125188
33192,79520
98731,127735
61542,90902
65968,36503
433,85557
33202,83786
437,57018
91131,52343
65976,127670
65977,56618
442,60755
65982,47193
447,64160
54688,45980
98754,136001
65987,169886
33223,126906
98760,132082
33225,5505
98766,61796
33231,100310
33234,128979
98771,132782
33236,36171
33237,126574
33238,64185
471,153551
33241,59366
98383,139648
476,88295
76538,12564
71077,119079
33248,159070
98785,56955
91671,112141
76540,70839
33260,102110
98797,93163
496,32465
70940,166813
66042,52343
507,135272
508,74517
509,17660
98071,276
512,25003
60160,75877
33284,6156
96895,146704
98827,137100
525,92909
33294,139998
66064,169819
33297,72967
530,149641
531,91299
33304,47408
33306,166707
54703,70936
540,140741
33311,6809
551,14433
555,127931
98862,21147
33327,117882
33331,52408
33333,117692
48013,83144
568,115495
33337,111391
98874,65914
65631,170036
102314,47238
101275,37427
576,89634
98884,135376
66117,105064
33350,43960
33351,74655
66120,97097
14204,79520
586,145705
98892,24169
32866,93163
88401,98634
66127,38222
33363,106487
33365,5825
49252,57161
99296,17470
33371,161251
604,135376
605,156064
98405,81802
608,24371
66146,57018
33380,152179
615,21147
99570,122293
33385,86942
98922,153051
620,129598
621,114823
622,20719
87485,20819
624,24735
32872,154459
33395,72967
629,131895
93858,51429
632,28276
77692,38604
98938,33726
71103,47193
33404,112031
637,76820
638,75906
66175,55528
99314,16579
642,137805
645,18412
648,108407
32876,70936
66186,94380
33421,117996
33422,109728
655,72967
656,72967
33425,98068
659,154636
660,12564
82030,54357
33431,103652
33432,18412
668,31662
5573,20719
673,169726
675,72967
33447,72126
682,111472
5575,115495
33454,8710
98992,40336
33460,141614
33461,19062
695,85780
66235,65441
71114,56550
66240,146593
705,96204
85985,90646
708,62872
65654,158863
33478,149641
33480,88295
713,150041
86223,97097
33489,92394
33490,10628
60195,145378
726,147796
66266,81865
33499,15781
76581,153817
736,119052
12027,22469
744,91048
745,147433
746,72855
748,31662
33520,15134
76584,109349
33522,62707
66293,99122
33527,55092
71124,167087
768,132782
32896,134683
770,31662
99076,46990
773,63006
65665,20719
33544,144105
66314,114568
94217,153395
33552,71344
92772,54209
66323,121342
789,51168
790,57018
73132,54209
33567,50290
800,6486
66337,52343
33570,160476
78588,20308
33574,135272
809,11036
810,43405
93864,32465
72674,67241
66349,28276
66354,102488
33587,18585
90591,59820
66364,22359
829,75527
92981,2480
66369,24371
65675,77743
94956,79636
840,167131
32908,118238
842,22140
11063,169130
83149,109349
66381,67829
66382,65823
33615,2100
33616,94944
66388,117882
66390,126574
856,154636
66393,37427
33628,151327
66398,5505
99167,116502
864,32465
66401,153551
66402,135272
66403,98099
33636,56312
33637,63006
66406,44854
871,113675
873,106714
33642,49551
33645,18412
878,165614
76605,96959
15305,116246
66419,54357
884,54357
33654,47193
99192,144882
889,165190
33662,20819
33663,40336
896,86246
33665,130948
66434,68767
71147,160476
900,108858
901,75018
902,40336
99207,69355
904,61226
33673,124535
66443,28276
93406,73398
88993,14433
99218,151428
915,135272
66453,104993
82073,54357
11076,24979
62225,61226
70313,119657
